Feature,Importance
tasa_recuperacion,0.87103456
nombre_emisora_BANAMEX CLABE TRADICIONAL,0.1091149
idBanco,0.009701035
costo_por_peso_recuperado,0.005723363
idCredito,0.003027085
idEmisora,0.0005016392
nombre_emisora_BBVA CLABE PARCIAL,0.00041758805
nombre_emisora_SANTANDER TRADICIONAL REINTENTO ,0.00022291984
tasa_recuperacion_monto,0.00018186247
nombre_emisora_BANAMEX TARJETA,7.506765e-05
total_exitosos,0.0
total_intentos,0.0
nombre_banco_SANTANDER,0.0
nombre_banco_BANAMEX,0.0
nombre_banco_HSBC,0.0
nombre_banco_SCOTIABANK,0.0
costo_total_comisiones,0.0
monto_intentado,0.0
monto_recuperado,0.0
nombre_banco_BBVA MEXICO,0.0
nombre_banco_BANCOPPEL,0.0
nombre_banco_AFIRME,0.0
nombre_banco_AZTECA,0.0
nombre_banco_BANCO DEL BAJIO,0.0
nombre_emisora_BBVA CUENTA TRADICIONAL,0.0
nombre_emisora_BBVA CLABE MATUTINO,0.0
nombre_emisora_SANTANDER CUENTA ,0.0
nombre_banco_BANREGIO,0.0
nombre_emisora_SANTANDER CLABE INTERBANCARIO,0.0
nombre_emisora_None,0.0
tipo_servicio_None,0.0
canal_envio_None,0.0
tipo_envio_None,0.0
tipo_cobro_None,0.0
horario_carga_None,0.0
rango_cobro_banco_None,0.0
